State,EOF,INT,SEMI,COMMA,ID,ASSIGN,INT_NUM,LSQUARE,RSQUARE,LBRACE,RBRACE,IF,LPAR,RPAR,ELSE,WHILE,DO,RETURN,READ,WRITE,OROR,ANDAND,OR_OP,AND_OP,EQ,NOTEQ,LT,GT,LTEQ,GTEQ,SHL_OP,SHR_OP,PLUS,MINUS,MUL_OP,DIV_OP,NOT_OP,$,program,var_declarations,var_declaration,declaration_list,declaration,code_block,statements,statement,control_statement,read_write_statement,assign_statement,if_statement,if_stmt,while_statement,do_while_statement,return_statement,read_statement,write_statement,exp,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,
84,,,r55,,,,,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,s170,s171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,r58,,,,,,,,,,,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,s89,,s90,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,
87,,,,,s89,,s90,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,
88,,,r61,,,,,,,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,r64,,,,,s174,,,,,,,,,,,,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,r63,,,,,,,,,,,,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,175,93,94,95,96,97,98,99,100,101,102,105,
92,,,,,,,,,,,,,,s176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,r33,,,,,,,s177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,r35,,,,,,,r35,s178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,r37,,,,,,,r37,r37,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,r39,,,,,,,r39,r39,r39,s180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,r41,,,,,,,r41,r41,r41,r41,s181,s182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,r44,,,,,,,r44,r44,r44,r44,r44,r44,s183,s184,s185,s186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,r49,,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,s187,s188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,r52,,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,s189,s190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
